Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
			Palveluksessa olosta			
n	al̆lain | aллain [Ylä-L]	allain | allain	alasin			
			kannattajahirsi			
			?			
			villaiset kintaat, joita pidettiin nahkarukkasissa	?		
n	alaine [L-suu]	alaine	alasin pajassa			
n	al̆laiZin	allaisin	alasin			
postp	allak	allak	alle			
n	allaZ | aллaš [Ylä-L]	allaz | allaš	kaukalo			
adv	al̆lā | allaan [Hev]	allaa | allaan	alas			
adv, postp, prep	alle | allesse | ałłe	alle | allesse | alle	alle			
int	alle [Nar]	alle	erään linnun ääni			
n	allekkain [Nar]	allekkain	allit			
adv	allēssa	alleessa	tallessa | säilyneenä | ehjänä			
adj	alloGaZ	allokaz	aaltoisa			
v	aloittā	aloittaa	aloittaa			
v	altossa	altossa	lainehtia			
n	alttari	alttari	alttari			
v	aluDella	alutella	?		anfangen	
n	aluDoZ	alutoz	?			
			alaskintaan t. sukan suu, teen yhteydessä | sukka alettiin			
n	aluhame	aluhame	alushame			
n	aluhūli	aluhuuli	alahuuli			
n	alulaiDa	alulaita	lähinnä vettä oleva laivan, veneen kylki, l:n, v:n ollessa kallellaan			
n	aluot̀sa	aluotsa	alapää			
n	alupō̭li	alupooli	?			
n	aluverkko	aluverkko	nuotan perän alaosa			
adj	alumain	alumain	alimmainen			
n	aluZ	aluz	vaateen vuori | alushame			
			makuualus | makuukuivike			
			alus			
			laiva			
n	alushame [L-suu]	alushame	alushame			
n	alusherZi	alushersi	rakennuksen alimmainen hirsikerta			
n	aluZmaja	alusmaja	?		Kajüte	
n	aluZmḙ̄Z	alusmeez	laivan, kaljaasin omistaja | laivan rakentaja			
n	alustreηki [Kurkola]	alustrenki	palkattu laivamies			
n	alusvene [Kurkola]	alusvene	laivavene			
v	alustaa	alustaa	taikinaa | alusta			
v	alutta- | aluttele-	alutta- | aluttele-	aloittaa		anfangen	
n	alve	alve	vatsamato | heisimato			
int	amin | ami·n	amin | amin	aamen			
n	ammattel̆līja	ammattellija	?			
